,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
Prompt name,insight,,,mindfulness,,,compassion,,
Definition,,,,,,,,,
Reference,,,,,,,,,
Examples,"['insight', 'realized']",,,"['mindfulness', 'meditate']",,,"['compassion', 'love', 'kind', 'help others']",,
0,aha moment,,,acceptance,,,acceptance,,
1,analytical thinking,,,acceptance and commitment,,,active listening,,
2,astuteness,,,attention,,,advocacy,,
3,awareness,,,attentiveness,,,affective empathy,,
4,breakthrough,,,attunement,,,altruism,,
5,clarity,,,awareness,,,attentiveness,,
6,clarity of thought,,,awareness of breath,,,attunement,,
7,clear vision,,,awareness of thoughts,,,benevolence,,
8,cognitive insight,,,awareness practice,,,bonding,,
9,comprehension,,,balance,,,care,,
10,conceptual insight,,,body scan,,,caregiving,,
11,contemplation,,,body-scan,,,caring,,
12,critical thinking,,,breath,,,caring touch,,
13,deep insight,,,breathe,,,charity,,
14,deep understanding,,,breathing,,,cognitive empathy,,
15,diagnosis,,,breathwork,,,communality,,
16,diagnostic insight,,,calm,,,community,,
17,discernment,,,centered,,,compassion,,
18,discovery,,,centeredness,,,compassion fatigue,,
19,enlightened perspective,,,centering,,,compassion for all,,
20,enlightenment,,,clarity,,,compassion in action,,
21,epiphany,,,compassion,,,compassion journey,,
22,foresight,,,compassion meditation,,,compassion practice,,
23,grasp,,,composure,,,compassion towards others,,
24,grasping,,,concentration,,,compassion towards self,,
25,illumination,,,connection,,,compassionate response,,
26,informed decision,,,contemplation,,,compassionately,,
27,insight,,,deep listening,,,concern,,
28,insight-driven,,,detachment,,,connection,,
29,insightful,,,ease,,,consideration,,
30,insightful analysis,,,embodied,,,cooperative behavior,,
31,insightfulness,,,empathy,,,embrace,,
32,introspection,,,equanimity,,,emotional contagion,,
33,introspective,,,flow state,,,emotional intelligence,,
34,intuition,,,focus,,,emotional support,,
35,intuitive grasp,,,gratitude,,,empathy,,
36,keen perception,,,grounded,,,empathy fatigue,,
37,knowledge,,,grounding,,,forgiveness,,
38,knowledgeable,,,guided meditation,,,generosity,,
39,lucidity,,,harmony,,,gentle touch,,
40,meaningful understanding,,,headspace,,,gentleness,,
41,mental clarity,,,here and now,,,goodwill,,
42,mindful,,,immersion,,,grace,,
43,mindfulness,,,inner peace,,,gratitude,,
44,perception,,,inner-peace,,,heartfelt,,
45,perceptive,,,insight,,,heartwarming,,
46,perceptive insight,,,introspection,,,help others,,
47,perceptive understanding,,,introspective,,,hope,,
48,perceptiveness,,,joy,,,inclusion,,
49,perceptivity,,,kindness,,,kind,,
50,perspective,,,letting go,,,kindness,,
51,perspicacity,,,liberation,,,kindness meditation,,
52,perspicuity,,,loving-kindness,,,listening,,
53,profound realization,,,mantra,,,love,,
54,profound understanding,,,meditate,,,loving,,
55,psychological insight,,,meditation,,,loving-kindness,,
56,realization,,,meditative,,,mental health,,
57,realized,,,mindful,,,mercy,,
58,recognition,,,mindful breathing,,,mindfulness,,
59,reflection,,,mindful communication,,,moral sensitivity,,
60,reflective thinking,,,mindful eating,,,non-judgment,,
61,revelation,,,mindful journaling,,,nonjudgmental,,
62,sagacity,,,mindful movement,,,nurture,,
63,self-awareness,,,mindful walking,,,nurturing,,
64,self-knowledge,,,mindful-breathing,,,open heart,,
65,sharp awareness,,,mindful-eating,,,outreach,,
66,shrewdness,,,mindful-listening,,,presence,,
67,situational awareness,,,mindful-living,,,prosocial behavior,,
68,strategic insight,,,mindful-speaking,,,psychological safety,,
69,thoughtful analysis,,,mindful-thinking,,,rapport,,
70,thoughtful observation,,,mindful-walking,,,relational harmony,,
71,thoughtful reflection,,,mindfulness,,,resilience,,
72,transformative understanding,,,mindfulness-based,,,respect,,
73,understanding,,,nature connection,,,self,,
74,wisdom,,,non-judgment,,,selflessness,,
75,wise,,,non-reactivity,,,service,,
76,,,,nonattachment,,,share,,
77,,,,nonjudgemental,,,social connectedness,,
78,,,,nonreactive,,,solace,,
79,,,,notice,,,solidarity,,
80,,,,noticing,,,support,,
81,,,,oneness,,,sympathy,,
82,,,,openness,,,tenderness,,
83,,,,pay attention,,,togetherness,,
84,,,,peace,,,tolerance,,
85,,,,peaceful,,,trust,,
86,,,,peacefulness,,,unconditional positive regard,,
87,,,,perception,,,understanding,,
88,,,,presence,,,unity,,
89,,,,present moment,,,uplift,,
90,,,,present-focused,,,uplifting,,
91,,,,reflection,,,validation,,
92,,,,reflective,,,vulnerability,,
93,,,,relaxation,,,warmth,,
94,,,,resilience,,,well-being,,
95,,,,scanning,,,,,
96,,,,self-awareness,,,,,
97,,,,self-compassion,,,,,
98,,,,self-reflection,,,,,
99,,,,self-regulation,,,,,
100,,,,sensory,,,,,
101,,,,sensory experience,,,,,
102,,,,serenity,,,,,
103,,,,silence,,,,,
104,,,,soft,,,,,
105,,,,stillness,,,,,
106,,,,tranquility,,,,,
107,,,,understanding,,,,,
108,,,,unrolling,,,,,
109,,,,visualization,,,,,
110,,,,visualization techniques,,,,,
111,,,,yoga,,,,,
112,,,,zen,,,,,
