,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
Prompt name,insight,,,mindfulness,,,compassion,,
Definition,"the clarity of understanding of one's thoughts, feelings and behavior",,,"Mindfulness is the psychological process of bringing one's attention to experiences occurring in the present moment, which can be developed through the practice of meditation and other training.",,,,,
Reference,"Grant, A. M., Franklin, J., & Langford, P. (2002). The self-reflection and insight scale: A new measure of private self-consciousness. Social Behavior and Personality: an international journal, 30(8), 821-835.",,,gpt-4o-2024-05-13 which references: American Psychological Association. (2023). Mindfulness. In APA Dictionary of Psychology. Retrieved from https://dictionary.apa.org/mindfulness,,,,,
Examples,"['clarity', 'enlightenment', 'wise']",,,"['mindful', 'meditation', 'awareness', 'nonjudgemental', 'present-focused']",,,"['compassion', 'love', 'kind', 'help others']",,
0,astuteness,,,acceptance,,,acceptance,,
1,awareness,,,attention,,,active listening,,
2,clarity,,,attentiveness,,,aid,,
3,cognizance,,,attunement,,,altruism,,
4,comprehension,,,awareness,,,attentiveness,,
5,contemplation,,,balance,,,benevolence,,
6,discernment,,,body scan,,,camaraderie,,
7,enlightenment,,,breath,,,care,,
8,epiphany,,,breathing,,,charity,,
9,foresight,,,calm,,,compassion,,
10,grasp,,,centeredness,,,compassion fatigue,,
11,illumination,,,clarity,,,compassion-focused therapy,,
12,insightfulness,,,commitment,,,concern,,
13,introspection,,,compassion,,,connectedness,,
14,intuition,,,concentration,,,connection,,
15,intuitive,,,conscious,,,considerate,,
16,ken,,,controlled breathing,,,consideration,,
17,knowledge,,,detachment,,,consolation,,
18,lucidity,,,dharma,,,emotional intelligence,,
19,mindfulness,,,embodiment,,,emotional support,,
20,observant,,,equanimity,,,empathy,,
21,perception,,,focus,,,empathy fatigue,,
22,perceptiveness,,,gratitude,,,forgiveness,,
23,perspicacious,,,grounding,,,generosity,,
24,perspicaciousness,,,habitual patterns,,,gentleness,,
25,perspicacity,,,harmony,,,goodwill,,
26,perspicuity,,,here and now,,,grace,,
27,perspicuous,,,inner peace,,,help others,,
28,realization,,,inner stillness,,,humane,,
29,recognition,,,insight,,,humanitarian,,
30,reflection,,,introspection,,,inclusive,,
31,revelation,,,kindness,,,kind,,
32,sagacious,,,loving-kindness,,,kindness,,
33,sagaciousness,,,meditate,,,love,,
34,sagacity,,,meditation,,,mercy,,
35,self,,,mental clarity,,,mindfulness,,
36,self-awareness,,,metta,,,nonjudgmental,,
37,self-comprehension,,,mindful,,,nurture,,
38,self-discovery,,,mindfulness-based,,,nurturing,,
39,self-insight,,,mindfulness-training,,,outreach,,
40,self-knowledge,,,non-attachment,,,prosocial,,
41,self-perception,,,nonjudgemental,,,respect,,
42,self-realization,,,nonreactive,,,selflessness,,
43,self-reflection,,,observant,,,solace,,
44,shrewdness,,,open-hearted,,,solidarity,,
45,understanding,,,openness,,,support,,
46,wisdom,,,pay attention,,,sympathy,,
47,wise,,,peace,,,tenderness,,
48,,,,peacefulness,,,tolerance,,
49,,,,presence,,,unconditional positive regard,,
50,,,,present-focused,,,understanding,,
51,,,,reflection,,,validation,,
52,,,,relaxation,,,warmth,,
53,,,,resilience,,,,,
54,,,,samadhi,,,,,
55,,,,self-awareness,,,,,
56,,,,self-compassion,,,,,
57,,,,self-in,,,,,
58,,,,self-inquiry,,,,,
59,,,,self-regulation,,,,,
60,,,,serenity,,,,,
61,,,,situational awareness,,,,,
62,,,,spaciousness,,,,,
63,,,,stillness,,,,,
64,,,,therapy,,,,,
65,,,,tranquility,,,,,
66,,,,transcendence,,,,,
67,,,,understanding,,,,,
68,,,,vipassana,,,,,
69,,,,well-being,,,,,
70,,,,zen,,,,,
