,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
Prompt name,insight,,,mindfulness,,,compassion,,
Definition,"the clarity of understanding of one's thoughts, feelings and behavior",,,"Mindfulness is the psychological process of bringing one's attention to experiences occurring in the present moment, which can be developed through the practice of meditation and other training.",,,,,
Reference,"Grant, A. M., Franklin, J., & Langford, P. (2002). The self-reflection and insight scale: A new measure of private self-consciousness. Social Behavior and Personality: an international journal, 30(8), 821-835.",,,gpt-4o-2024-05-13 which references: American Psychological Association. (2023). Mindfulness. In APA Dictionary of Psychology. Retrieved from https://dictionary.apa.org/mindfulness,,,,,
Examples,"['clarity', 'enlightenment', 'wise']",,,"['mindful', 'meditation', 'awareness', 'nonjudgemental', 'present-focused']",,,"['compassion', 'love', 'kind', 'help others']",,
0,acuity,,,acceptance,,,acceptance,,
1,acumen,,,attention,,,active listening,,
2,astuteness,,,attentiveness,,,aid,,
3,awareness,,,attunement,,,altruism,,
4,brilliance,,,awareness,,,attentiveness,,
5,clarity,,,balance,,,benevolence,,
6,cognition,,,body scan,,,camaraderie,,
7,cognizance,,,breath,,,care,,
8,comprehension,,,breathing,,,charity,,
9,contemplation,,,calm,,,comfort,,
10,discernment,,,centeredness,,,compassion,,
11,enlightenment,,,clarity,,,compassion fatigue,,
12,epiphany,,,commitment,,,compassion-focused therapy,,
13,foresight,,,compassion,,,concern,,
14,grasp,,,concentration,,,connectedness,,
15,illumination,,,conscious,,,connection,,
16,insightfulness,,,controlled breathing,,,considerate,,
17,intelligence,,,curiosity,,,consideration,,
18,introspection,,,detachment,,,consolation,,
19,intuition,,,dharma,,,emotional intelligence,,
20,intuitive,,,embodiment,,,emotional support,,
21,keenness,,,emotional regulation,,,empathy,,
22,ken,,,equanimity,,,empathy fatigue,,
23,knowledge,,,focus,,,encouragement,,
24,lucidity,,,gratitude,,,forgiveness,,
25,mindfulness,,,grounding,,,generosity,,
26,observance,,,habitual patterns,,,gentleness,,
27,observant,,,harmony,,,goodwill,,
28,observation,,,here and now,,,grace,,
29,penetration,,,inner peace,,,healing,,
30,perception,,,inner stillness,,,help others,,
31,perceptiveness,,,insight,,,humane,,
32,perspicacious,,,intention,,,humanitarian,,
33,perspicaciousness,,,intentionality,,,humanity,,
34,perspicacity,,,introspection,,,inclusive,,
35,perspicuity,,,kindness,,,kind,,
36,perspicuous,,,loving-kindness,,,kindness,,
37,prudence,,,meditate,,,love,,
38,realization,,,meditation,,,mercy,,
39,recognition,,,mental clarity,,,mindfulness,,
40,reflection,,,metta,,,moral elevation,,
41,revelation,,,mindful,,,nonjudgmental,,
42,sagacious,,,mindfulness-based,,,nurture,,
43,sagaciousness,,,mindfulness-training,,,nurturing,,
44,sagacity,,,non-attachment,,,outreach,,
45,self,,,nonjudgemental,,,patience,,
46,self-awareness,,,nonreactive,,,prosocial,,
47,self-comprehension,,,observance,,,respect,,
48,self-discovery,,,observant,,,selflessness,,
49,self-insight,,,observation,,,sensitivity,,
50,self-knowledge,,,open-hearted,,,solace,,
51,self-perception,,,openness,,,solidarity,,
52,self-realization,,,patience,,,support,,
53,self-reflection,,,pay attention,,,sympathy,,
54,shrewdness,,,peace,,,tenderness,,
55,understanding,,,peacefulness,,,tolerance,,
56,wisdom,,,presence,,,unconditional positive regard,,
57,wise,,,present-focused,,,understanding,,
58,,,,reflection,,,validation,,
59,,,,relaxation,,,warmth,,
60,,,,resilience,,,,,
61,,,,samadhi,,,,,
62,,,,self-awareness,,,,,
63,,,,self-compassion,,,,,
64,,,,self-in,,,,,
65,,,,self-inquiry,,,,,
66,,,,self-regulation,,,,,
67,,,,serenity,,,,,
68,,,,situational awareness,,,,,
69,,,,spaciousness,,,,,
70,,,,stillness,,,,,
71,,,,stress reduction,,,,,
72,,,,therapy,,,,,
73,,,,tranquility,,,,,
74,,,,transcendence,,,,,
75,,,,understanding,,,,,
76,,,,vipassana,,,,,
77,,,,well-being,,,,,
78,,,,zen,,,,,
