,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
Prompt name,,,,,,,,,
Definition,"the clarity of understanding of one's thoughts, feelings and behavior",,,"Mindfulness is the psychological process of bringing one's attention to experiences occurring in the present moment, which can be developed through the practice of meditation and other training.",,,,,
Reference,"Grant, A. M., Franklin, J., & Langford, P. (2002). The self-reflection and insight scale: A new measure of private self-consciousness. Social Behavior and Personality: an international journal, 30(8), 821-835.",,,gpt-4o-2024-05-13 which references: American Psychological Association. (n.d.). Mindfulness. In APA Dictionary of Psychology. Retrieved from https://dictionary.apa.org/mindfulness,,,,,
Examples,"['clarity', 'enlightenment', 'wise']",,,"['mindful', 'meditation', 'awareness', 'nonjudgemental', 'present-focused']",,,"['compassion', 'love', 'kind', 'help others']",,
0,acuity,,1,acceptance,,3,acceptance,,1
1,acumen,,1,attention,,3,active listening,,2
2,analysis,,1,attentiveness,,3,advocacy,,2
3,analyzing,,1,attunement,,3,affection,,1
4,apprehension,,1,awaken,,3,affective empathy,,3
5,astuteness,,2,awareness,,2,aiding,,3
6,awaken,meaning of life,3,awareness training,,3,altruism,,3
7,awareness,,3,balance,,2,benevolence,,3
8,behavioral insight,,3,body scan,,3,bonding,,3
9,brilliance,,1,body-scan,,3,care,,3
10,clarity,,3,breath,,2,caregiving,,3
11,clarity of mind,,3,breathing,,2,charity,,3
12,cognition,,1,calm,,2,comfort,,1
13,cognitive,,1,centeredness,,2,compassion,,3
14,cognitive clarity,,1,centering,,2,compassion fatigue,,2
15,comprehension,,3,clarity,,2,concern,,2
16,consciousness,,1,cognitive defusion,,2,connection,,2
17,contemplation,,2,cognitive-flexibility,,2,considerate,,3
18,deep understanding,,3,compassion,,3,consideration,,2
19,depth,,1,concentration,,2,emotional intelligence,,2
20,detection,,1,consciousness,,1,emotional resonance,,3
21,diagnostic,,1,contemplation,,3,emotional support,,3
22,discerned,,2,curiosity,,1,empathetic concern,,3
23,discernment,,2,deliberate,,1,empathy,,3
24,discovery,,3,detachment,,2,empathy training,,3
25,elucidation,,2,dharma,,2,encouragement,,1
26,emotional insight,,2,emotional regulation,,1,fellowship,,1
27,enlightenment,,3,emotional-regulation,,1,forgiveness,,3
28,epiphany,,3,empathy,,2,generosity,,3
29,fathoming,,2,equanimity,,3,gentleness,,3
30,foresight,,2,focus,,2,goodwill,,3
31,grasp,,3,gentle,,1,gratitude,,2
