,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
Prompt name,insight,,,mindfulness,,,compassion,,
Definition,,,,,,,,,
Reference,,,,,,,,,
Examples,"['insight', 'realized']",,,"['mindfulness', 'meditate']",,,"['compassion', 'love', 'kind', 'help others']",,
0,acuity,,,acceptance,,,acceptance,,
1,acumen,,,acceptance and commitment,,,active listening,,
2,aha moment,,,attention,,,advocacy,,
3,analysis,,,attentiveness,,,affection,,
4,analytical thinking,,,attunement,,,affective empathy,,
5,astuteness,,,awareness,,,altruism,,
6,awareness,,,awareness of breath,,,attentiveness,,
7,breakthrough,,,awareness of thoughts,,,attunement,,
8,brilliance,,,awareness practice,,,benevolence,,
9,clarity,,,balance,,,bonding,,
10,clarity of thought,,,body scan,,,care,,
11,clear vision,,,body-scan,,,caregiving,,
12,cognition,,,breath,,,caring,,
13,cognitive insight,,,breathe,,,caring touch,,
14,comprehension,,,breathing,,,charity,,
15,conceptual insight,,,breathwork,,,cognitive empathy,,
16,consciousness,,,calm,,,comfort,,
17,contemplation,,,centered,,,communality,,
18,critical thinking,,,centeredness,,,community,,
19,deep insight,,,centering,,,compassion,,
20,deep understanding,,,clarity,,,compassion fatigue,,
21,diagnosis,,,compassion,,,compassion for all,,
22,diagnostic insight,,,compassion meditation,,,compassion in action,,
23,discernment,,,composure,,,compassion journey,,
24,discovery,,,concentration,,,compassion practice,,
25,enlightened perspective,,,connection,,,compassion towards others,,
26,enlightenment,,,consciousness,,,compassion towards self,,
27,epiphany,,,contemplation,,,compassionate response,,
28,foresight,,,curiosity,,,compassionately,,
29,grasp,,,deep listening,,,concern,,
30,grasping,,,deliberate,,,connection,,
31,illumination,,,detachment,,,consideration,,
32,informed decision,,,ease,,,cooperative behavior,,
33,insight,,,embodied,,,embrace,,
34,insight-driven,,,emotional regulation,,,emotional contagion,,
35,insightful,,,empathy,,,emotional intelligence,,
36,insightful analysis,,,equanimity,,,emotional support,,
37,insightfulness,,,flow state,,,empathy,,
38,interpretation,,,focus,,,empathy fatigue,,
39,introspection,,,gentle,,,encouragement,,
40,introspective,,,gratitude,,,fellowship,,
41,intuition,,,grounded,,,forgiveness,,
42,intuitive grasp,,,grounding,,,generosity,,
43,judgment,,,guided meditation,,,gentle touch,,
44,keen perception,,,harmony,,,gentleness,,
45,keenness,,,headspace,,,goodwill,,
46,knowledge,,,here,,,grace,,
47,knowledgeable,,,here and now,,,gratitude,,
48,lucidity,,,immersion,,,healing,,
49,meaningful understanding,,,inner peace,,,heartfelt,,
50,mental clarity,,,inner-peace,,,heartwarming,,
51,mindful,,,insight,,,help others,,
52,mindfulness,,,intention,,,hope,,
53,observation,,,introspection,,,humanity,,
54,penetration,,,introspective,,,humility,,
55,perception,,,joy,,,inclusion,,
56,perceptive,,,kindness,,,kind,,
57,perceptive insight,,,letting go,,,kindness,,
58,perceptive understanding,,,liberation,,,kindness meditation,,
59,perceptiveness,,,loving-kindness,,,listening,,
60,perceptivity,,,mantra,,,love,,
61,perspective,,,meditate,,,loving,,
62,perspicacity,,,meditation,,,loving-kindness,,
63,perspicuity,,,meditative,,,mental health,,
64,profound realization,,,mindful,,,mercy,,
65,profound understanding,,,mindful breathing,,,mindfulness,,
66,psychological insight,,,mindful communication,,,moral sensitivity,,
67,realization,,,mindful eating,,,non-judgment,,
68,realized,,,mindful journaling,,,nonjudgmental,,
69,recognition,,,mindful movement,,,nurture,,
70,reflection,,,mindful walking,,,nurturing,,
71,reflective thinking,,,mindful-breathing,,,open heart,,
72,revelation,,,mindful-eating,,,outreach,,
73,sagacity,,,mindful-listening,,,patience,,
74,self-awareness,,,mindful-living,,,positive regard,,
75,self-knowledge,,,mindful-speaking,,,presence,,
76,sharp awareness,,,mindful-thinking,,,prosocial behavior,,
77,shrewdness,,,mindful-walking,,,psychological safety,,
78,situational awareness,,,mindfulness,,,rapport,,
79,strategic insight,,,mindfulness-based,,,relational harmony,,
80,thoughtful analysis,,,moment to moment,,,resilience,,
81,thoughtful observation,,,nature connection,,,respect,,
82,thoughtful reflection,,,non-judgment,,,self,,
83,transformative understanding,,,non-reactivity,,,selflessness,,
84,understanding,,,nonattachment,,,sensitivity,,
85,wisdom,,,nonjudgemental,,,service,,
86,wise,,,nonreactive,,,share,,
87,,,,notice,,,social connectedness,,
88,,,,noticing,,,solace,,
89,,,,now,,,solidarity,,
90,,,,observance,,,support,,
91,,,,observation,,,sympathy,,
92,,,,observe,,,tenderness,,
93,,,,oneness,,,togetherness,,
94,,,,openness,,,tolerance,,
95,,,,patience,,,trust,,
96,,,,pay attention,,,unconditional positive regard,,
97,,,,peace,,,understanding,,
98,,,,peaceful,,,unity,,
99,,,,peacefulness,,,uplift,,
100,,,,perception,,,uplifting,,
101,,,,presence,,,validation,,
102,,,,present,,,vulnerability,,
103,,,,present moment,,,warmth,,
104,,,,present-focused,,,well-being,,
105,,,,reflection,,,,,
106,,,,reflective,,,,,
107,,,,relaxation,,,,,
108,,,,resilience,,,,,
109,,,,scanning,,,,,
110,,,,self-awareness,,,,,
111,,,,self-compassion,,,,,
112,,,,self-reflection,,,,,
113,,,,self-regulation,,,,,
114,,,,sensory,,,,,
115,,,,sensory experience,,,,,
116,,,,serenity,,,,,
117,,,,silence,,,,,
118,,,,soft,,,,,
119,,,,stillness,,,,,
120,,,,stress reduction,,,,,
121,,,,tranquility,,,,,
122,,,,understanding,,,,,
123,,,,unrolling,,,,,
124,,,,visualization,,,,,
125,,,,visualization techniques,,,,,
126,,,,yoga,,,,,
127,,,,zen,,,,,
